iter	Passed	Remaining
0	1	180
1	3	166
2	4	155
3	6	148
4	7	143
5	9	145
6	10	145
7	12	145
8	14	143
9	15	142
10	17	141
11	19	140
12	20	138
13	22	137
14	23	135
15	25	133
16	27	132
17	28	130
18	30	129
19	31	127
20	33	124
21	34	122
22	36	120
23	37	118
24	39	117
25	40	115
26	42	114
27	44	113
28	45	111
29	47	109
30	48	108
31	49	105
32	50	103
33	52	101
34	54	100
35	55	99
36	57	97
37	58	96
38	60	94
39	62	93
40	63	91
41	64	89
42	66	87
43	67	86
44	69	84
45	70	83
46	72	81
47	74	80
48	75	78
49	77	77
50	78	75
51	80	74
52	81	72
53	83	71
54	84	68
55	85	67
56	87	66
57	89	64
58	90	62
59	92	61
60	93	59
61	94	58
62	96	56
63	98	55
64	99	53
65	101	52
66	103	50
67	104	49
68	106	47
69	107	46
70	108	44
71	110	42
72	112	41
73	113	39
74	115	38
75	116	36
76	118	35
77	120	33
78	121	32
79	122	30
80	123	29
81	125	27
82	127	26
83	128	24
84	130	23
85	132	21
86	133	19
87	135	18
88	136	16
89	138	15
90	139	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	150	3
98	151	1
99	153	0
