iter	Passed	Remaining
0	134	134146
1	134	67243
2	135	44985
3	135	33841
4	136	27181
5	137	22724
6	137	19537
7	138	17144
8	138	15279
9	139	13786
10	139	12562
11	140	11544
12	140	10681
13	141	9944
14	141	9305
15	142	8745
16	142	8249
17	143	7810
18	143	7417
19	144	7065
20	144	6745
21	145	6454
22	145	6187
23	146	5948
24	146	5732
25	147	5533
26	148	5341
27	148	5166
28	149	5001
29	149	4844
30	150	4699
31	150	4563
32	151	4439
33	152	4318
34	152	4206
35	153	4104
36	153	4005
37	154	3910
38	154	3818
39	155	3731
40	155	3647
41	156	3568
42	156	3492
43	157	3420
44	157	3351
45	158	3285
46	158	3221
47	159	3160
48	159	3102
49	160	3047
50	160	2994
51	161	2943
52	161	2893
53	162	2845
54	162	2798
55	163	2754
56	163	2711
57	164	2669
58	164	2630
59	165	2591
60	165	2555
61	166	2523
62	167	2494
63	168	2460
64	169	2431
65	169	2401
66	170	2369
67	170	2338
68	171	2309
69	171	2279
70	172	2252
71	172	2224
72	173	2198
73	173	2171
74	174	2146
75	174	2121
76	175	2098
77	175	2075
78	176	2053
79	176	2031
80	177	2009
81	177	1988
82	177	1965
83	178	1944
84	178	1925
85	179	1905
86	179	1886
87	180	1868
88	180	1850
89	181	1835
90	182	1820
91	182	1805
92	183	1792
93	184	1776
94	184	1760
95	185	1744
96	185	1729
97	186	1713
98	186	1698
99	187	1684
100	187	1669
101	188	1655
102	188	1641
103	188	1627
104	189	1615
105	190	1602
106	190	1591
107	191	1578
108	191	1566
109	192	1554
110	192	1542
111	193	1530
112	193	1519
113	194	1508
114	194	1496
115	194	1485
116	195	1474
117	195	1463
118	196	1453
119	197	1444
120	197	1436
121	198	1425
122	199	1419
123	199	1410
124	200	1401
125	200	1392
126	201	1382
127	201	1373
128	202	1364
129	202	1355
130	202	1346
131	203	1337
132	203	1329
133	204	1320
134	204	1313
135	205	1305
136	206	1297
137	206	1289
138	207	1282
139	207	1274
140	207	1267
141	208	1258
142	208	1251
143	209	1244
144	209	1236
145	210	1229
146	210	1222
147	211	1215
148	211	1209
149	212	1204
150	213	1199
151	213	1192
152	214	1186
153	214	1181
154	215	1174
155	215	1168
156	216	1162
157	216	1156
158	217	1150
159	217	1144
160	218	1137
161	218	1131
162	219	1125
163	219	1119
164	220	1113
165	220	1108
166	221	1102
167	221	1097
168	222	1092
169	222	1087
170	223	1082
171	223	1077
172	224	1072
173	224	1067
174	225	1061
175	225	1056
176	226	1051
177	226	1046
178	227	1043
179	228	1039
180	229	1036
181	229	1032
182	230	1028
183	230	1023
184	231	1018
185	231	1014
186	232	1009
187	232	1004
188	233	1000
189	233	995
190	234	991
191	234	987
192	235	983
193	235	979
194	236	975
195	236	971
196	237	967
197	237	963
198	238	958
199	238	954
200	239	950
201	239	946
202	240	942
203	240	938
204	240	934
205	241	930
206	241	926
207	242	923
208	243	919
209	243	916
210	244	912
211	244	910
212	245	906
213	245	903
214	246	899
215	246	896
216	247	892
217	247	889
218	248	885
219	248	882
220	249	878
221	249	875
222	250	872
223	250	868
224	251	865
225	251	862
226	252	858
227	252	855
228	253	852
